Series_Title,Gross,Genre,Fecha,Genero
Spotlight,45055776,Biography,2015-01-01,BIOGRAFIA
Song of the Sea,857524,Animation,2014-11-01,ANIMACION
Kahaani,1035953,Mystery,2012-01-01,MISTERIO
Zindagi Na Milegi Dobara,3108485,Comedy,2011-04-01,COMEDIA
Prisoners,61002302,Crime,2013-03-01,CRIMEN
Mad Max: Fury Road,154058340,Action,2015-11-01,ACCION
A Wednesday,1,Action,2008-01-01,ACCION
Gran Torino,148095302,Drama,2008-12-01,DRAMA
Harry Potter and the Deathly Hallows: Part 2,381011219,Adventure,2011-10-01,AVENTURA
Okuribito,1498210,Drama,2008-05-01,DRAMA
Hachi: A Dog's Tale,1,Biography,2009-08-01,BIOGRAFIA
Mary and Max,1,Animation,2009-09-01,ANIMACION
How to Train Your Dragon,217581231,Animation,2010-01-01,ANIMACION
Into the Wild,18354356,Adventure,2007-06-01,AVENTURA
No Country for Old Men,74283625,Crime,2007-11-01,CRIMEN
Lage Raho Munna Bhai,2217561,Comedy,2006-10-01,COMEDIA
Million Dollar Baby,100492203,Drama,2004-09-01,DRAMA
Hotel Rwanda,23530892,Biography,2004-10-01,BIOGRAFIA
Taegukgi hwinalrimyeo,1111061,Action,2004-02-01,ACCION
Before Sunset,5820649,Drama,2004-11-01,DRAMA
Munna Bhai M.B.B.S.,1,Comedy,2003-07-01,COMEDIA
Salinui chueok,14131,Crime,2003-06-01,CRIMEN
Dil Chahta Hai,300000,Comedy,2001-11-01,COMEDIA
Kill Bill: Vol. 1,70099045,Action,2003-05-01,ACCION
Finding Nemo,380843261,Animation,2003-04-01,ANIMACION
Catch Me If You Can,164615351,Biography,2002-04-01,BIOGRAFIA
Amores perros,5383834,Drama,2000-12-01,DRAMA
"Monsters, Inc.",289916256,Animation,2001-08-01,ANIMACION
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1,Animation,1997-09-01,ANIMACION
Lagaan: Once Upon a Time in India,70147,Adventure,2001-02-01,AVENTURA
The Sixth Sense,293506292,Drama,1999-07-01,DRAMA
La leggenda del pianista sull'oceano,259127,Drama,1998-05-01,DRAMA
The Truman Show,125618201,Comedy,1998-12-01,COMEDIA
"Crna macka, beli macor",348660,Comedy,1998-04-01,COMEDIA
The Big Lebowski,17498804,Comedy,1998-08-01,COMEDIA
Fa yeung nin wah,2734044,Drama,2000-06-01,DRAMA
Trainspotting,16501785,Drama,1996-10-01,DRAMA
Fargo,24611975,Crime,1996-03-01,CRIMEN
Underground,171082,Comedy,1995-07-01,COMEDIA
La haine,309811,Crime,1995-06-01,CRIMEN
Dilwale Dulhania Le Jayenge,1,Drama,1995-01-01,DRAMA
Before Sunrise,5535405,Drama,1995-02-01,DRAMA
Trois couleurs: Rouge,4043686,Drama,1994-03-01,DRAMA
Chung Hing sam lam,600200,Comedy,1994-08-01,COMEDIA
Jurassic Park,402453882,Action,1993-09-01,ACCION
In the Name of the Father,25010410,Biography,1993-04-01,BIOGRAFIA
Ba wang bie ji,5216888,Drama,1993-04-01,DRAMA
Dà hóng denglong gaogao guà,2603061,Drama,1991-09-01,DRAMA
Dead Poets Society,95860116,Comedy,1989-01-01,COMEDIA
Stand by Me,52287414,Adventure,1986-04-01,AVENTURA
Platoon,138530565,Drama,1986-04-01,DRAMA
"Paris, Texas",2181987,Drama,1984-10-01,DRAMA
Kaze no tani no Naushika,495770,Animation,1984-09-01,ANIMACION
The Thing,13782838,Horror,1982-05-01,HORROR
Pink Floyd: The Wall,22244207,Drama,1982-02-01,DRAMA
Fitzcarraldo,1,Adventure,1982-05-01,AVENTURA
Fanny och Alexander,4971340,Drama,1982-09-01,DRAMA
Blade Runner,32868943,Action,1982-08-01,ACCION
The Elephant Man,1,Biography,1980-01-01,BIOGRAFIA
Life of Brian,20045115,Comedy,1979-07-01,COMEDIA
The Deer Hunter,48979328,Drama,1978-01-01,DRAMA
Rocky,117235247,Drama,1976-10-01,DRAMA
Network,1,Drama,1976-08-01,DRAMA
Barry Lyndon,1,Adventure,1975-10-01,AVENTURA
Zerkalo,177345,Biography,1975-01-01,BIOGRAFIA
Chinatown,29000000,Drama,1974-03-01,DRAMA
Paper Moon,30933743,Comedy,1973-09-01,COMEDIA
Viskningar och rop,1742348,Drama,1972-04-01,DRAMA
Solaris,1,Drama,1972-07-01,DRAMA
Le samouraï,39481,Crime,1967-10-01,CRIMEN
Cool Hand Luke,16217773,Crime,1967-08-01,CRIMEN
Persona,1,Drama,1966-08-01,DRAMA
Andrei Rublev,102021,Biography,1966-11-01,BIOGRAFIA
La battaglia di Algeri,55908,Drama,1966-04-01,DRAMA
El ángel exterminador,1,Drama,1962-02-01,DRAMA
What Ever Happened to Baby Jane?,4050000,Drama,1962-10-01,DRAMA
Sanjuro,1,Action,1962-03-01,ACCION
The Man Who Shot Liberty Valance,1,Drama,1962-10-01,DRAMA
Ivanovo detstvo,1,Drama,1962-04-01,DRAMA
Jungfrukällan,1526000,Drama,1960-06-01,DRAMA
Inherit the Wind,1,Biography,1960-07-01,BIOGRAFIA
Les quatre cents coups,1,Crime,1959-06-01,CRIMEN
Ben-Hur,74700000,Adventure,1959-10-01,AVENTURA
Kakushi-toride no san-akunin,1,Adventure,1958-04-01,AVENTURA
Le notti di Cabiria,752045,Drama,1957-09-01,DRAMA
Kumonosu-jô,1,Drama,1957-10-01,DRAMA
The Bridge on the River Kwai,44908000,Adventure,1957-08-01,AVENTURA
On the Waterfront,9600000,Crime,1954-08-01,CRIMEN
Le salaire de la peur,1,Adventure,1953-05-01,AVENTURA
Ace in the Hole,3969893,Drama,1951-12-01,DRAMA
White Heat,1,Action,1949-01-01,ACCION
The Third Man,449191,Film-Noir,1949-07-01,OTRO
The Red Shoes,10900000,Drama,1948-07-01,DRAMA
The Shop Around the Corner,203300,Comedy,1940-07-01,COMEDIA
Rebecca,4360000,Drama,1940-08-01,DRAMA
Mr. Smith Goes to Washington,9600000,Comedy,1939-12-01,COMEDIA
Gone with the Wind,198676459,Drama,1939-09-01,DRAMA
La Grande Illusion,172885,Drama,1937-12-01,DRAMA
It Happened One Night,4360000,Comedy,1934-04-01,COMEDIA
La passion de Jeanne d'Arc,21877,Biography,1928-11-01,BIOGRAFIA
The Circus,1,Comedy,1928-10-01,COMEDIA
Sunrise: A Song of Two Humans,539540,Drama,1927-08-01,DRAMA
The General,1033895,Action,1926-03-01,ACCION
Das Cabinet des Dr. Caligari,1,Fantasy,1920-01-01,OTRO
Badhaai ho,1,Comedy,2018-03-01,COMEDIA
Togo,1,Adventure,2019-12-01,AVENTURA
Airlift,1,Drama,2016-05-01,DRAMA
Bajrangi Bhaijaan,8178001,Action,2015-09-01,ACCION
Baby,1,Action,2015-08-01,ACCION
La La Land,151101803,Comedy,2016-05-01,COMEDIA
Lion,51739495,Biography,2016-12-01,BIOGRAFIA
The Martian,228433663,Adventure,2015-09-01,AVENTURA
Zootopia,341268248,Animation,2016-05-01,ANIMACION
Bãhubali: The Beginning,6738000,Action,2015-01-01,ACCION
Kaguyahime no monogatari,1506975,Animation,2013-03-01,ANIMACION
Wonder,132422809,Drama,2017-06-01,DRAMA
Gully Boy,5566534,Drama,2019-10-01,DRAMA
Special Chabbis,1079369,Crime,2013-04-01,CRIMEN
Short Term 12,1010414,Drama,2013-06-01,DRAMA
Serbuan maut 2: Berandal,2625803,Action,2014-03-01,ACCION
The Imitation Game,91125683,Biography,2014-08-01,BIOGRAFIA
Guardians of the Galaxy,333176600,Action,2014-07-01,ACCION
Blade Runner 2049,92054159,Action,2017-02-01,ACCION
Her,25568251,Drama,2013-09-01,DRAMA
Bohemian Rhapsody,216428042,Biography,2018-06-01,BIOGRAFIA
The Revenant,183637894,Action,2015-05-01,ACCION
The Perks of Being a Wallflower,17738570,Drama,2012-12-01,DRAMA
Tropa de Elite 2: O Inimigo Agora é Outro,100119,Action,2010-03-01,ACCION
The King's Speech,138797449,Biography,2010-09-01,BIOGRAFIA
The Help,169708112,Drama,2011-11-01,DRAMA
Deadpool,363070709,Action,2016-01-01,ACCION
Darbareye Elly,106662,Drama,2009-07-01,DRAMA
Dev.D,10950,Drama,2009-09-01,DRAMA
Yip Man,1,Action,2008-05-01,ACCION
My Name Is Khan,4018695,Drama,2010-02-01,DRAMA
Nefes: Vatan Sagolsun,1,Action,2009-09-01,ACCION
Slumdog Millionaire,141319928,Drama,2008-05-01,DRAMA
